Name	Data type	Initial value	AT	Retain	Constant	Network Publish	Comment
AL[99]	BOOL			False	False	Do not publish	AL099_ Spare
AL[100]	BOOL			False	False	Do not publish	AL100_ Spare
MF[1]	BOOL			False	False	Do not publish	MF001_ ST1 LEFT DIVIDER Motion Fault
MF[2]	BOOL			False	False	Do not publish	MF002_ ST1 RIGHT DIVIDER Motion Fault
MF[3]	BOOL			False	False	Do not publish	MF003_ ST1 STOPPER-2 Motion Fault
MF[4]	BOOL			False	False	Do not publish	MF004_ ST1 STOPPER-3 Motion Fault
MF[5]	BOOL			False	False	Do not publish	MF005_ ST1 STOPPER-4 Motion Fault
MF[6]	BOOL			False	False	Do not publish	MF006_ ST1 STOPPER-5 Motion Fault
MF[7]	BOOL			False	False	Do not publish	MF007_ Spare
MF[8]	BOOL			False	False	Do not publish	MF008_ Spare
MF[9]	BOOL			False	False	Do not publish	MF009_ Spare
MF[10]	BOOL			False	False	Do not publish	MF010_ Spare
MF[11]	BOOL			False	False	Do not publish	MF011_ Spare
MF[12]	BOOL			False	False	Do not publish	MF012_ Spare
MF[13]	BOOL			False	False	Do not publish	MF013_ Spare
MF[14]	BOOL			False	False	Do not publish	MF014_ Spare
MF[15]	BOOL			False	False	Do not publish	MF015_ Spare
MF[16]	BOOL			False	False	Do not publish	MF016_ Spare
MF[17]	BOOL			False	False	Do not publish	MF017_ Spare
MF[18]	BOOL			False	False	Do not publish	MF018_ Spare
MF[19]	BOOL			False	False	Do not publish	MF019_ Spare
MF[20]	BOOL			False	False	Do not publish	MF020_ Spare
MF[21]	BOOL			False	False	Do not publish	MF021_ Spare
MF[22]	BOOL			False	False	Do not publish	MF022_ Spare
MF[23]	BOOL			False	False	Do not publish	MF023_ Spare
MF[24]	BOOL			False	False	Do not publish	MF024_ Spare
MF[25]	BOOL			False	False	Do not publish	MF025_ Spare
MF[26]	BOOL			False	False	Do not publish	MF026_ Spare
MF[27]	BOOL			False	False	Do not publish	MF027_ Spare
MF[28]	BOOL			False	False	Do not publish	MF028_ Spare
MF[29]	BOOL			False	False	Do not publish	MF029_ Spare
